Attendance_%,QuizScore_%,StudyHours_PerDay,PerformanceScore
85,64,2,66.39
77,40,6,71.16
48,73,5,69.01
56,85,4,75.34
79,100,8,104.87
81,60,4,72.99
80,93,6,94.61
72,79,2,71.14
56,71,8,81.27
77,96,2,75.16
81,89,7,96.62
73,78,2,70.91
41,52,2,44.29
100,66,1,68.45
59,66,2,60.83
71,44,3,58.29
61,81,2,61.99
42,43,4,47.44
60,74,4,69.12
93,90,3,87.4
78,89,7,94.61
57,38,2,43.53
73,37,7,72.8
66,95,2,70.26
53,52,4,60.06
61,68,6,73.83
53,43,2,44.57
45,99,3,66.83
49,46,4,54.75
78,45,6,72.33
65,87,7,87.12
86,54,7,84.2
97,60,8,92.81
56,95,3,74.65
99,62,2,71.69
56,44,3,50.32
82,93,1,74.85
67,44,8,75.2
90,79,5,87.07
44,44,5,55.38
97,51,2,67.16
96,43,3,66.9
75,36,6,67.89
46,83,7,76.8
60,61,3,61.97
79,39,1,50.11
43,86,1,53.72
93,43,6,78.96
95,82,6,92.38
58,42,1,41.24
46,64,2,52.45
89,72,8,95.28
63,79,3,68.11
54,83,8,83.85
44,42,6,57.63
53,39,3,51.24
82,73,1,66.69
84,73,4,79.63
67,70,6,79.01
46,85,2,58.38
74,35,3,55.38
64,68,5,74.73
66,88,3,72.12
82,46,4,68.97
73,82,3,76.32
76,51,2,57.95
80,99,4,90.51
41,54,4,55.72
68,76,8,86.69
46,71,8,81.55
48,64,6,66.04
63,99,7,90.7
69,38,7,68.11
44,42,5,56.47
74,56,7,82.1
59,35,7,67.68
47,46,4,50.55
87,85,8,103.37
72,52,2,59.14
100,98,6,105.05
100,64,6,89.6
76,84,2,70.21
52,65,1,48.9
57,44,1,47.35
52,74,5,67.54
54,90,7,88.16
57,37,6,64.03
40,49,5,58.27
54,74,1,56.55
66,83,8,91.03
85,68,1,66.99
98,63,5,87.22
54,51,3,51.57
74,88,5,86.8
59,60,6,72.58
92,46,5,78.0
70,93,2,70.73
51,66,4,63.36
67,76,3,67.87
86,45,5,72.77
52,76,1,55.69
47,82,5,74.45
49,95,7,86.0
41,70,7,72.62
94,36,7,80.3
75,93,6,89.26
91,59,6,83.05
47,87,6,78.66
45,51,7,64.42
49,36,7,59.01
96,73,1,73.08
77,99,3,82.98
48,78,2,56.09
45,90,8,85.26
74,46,3,61.67
50,39,3,47.56
40,65,4,58.36
100,46,6,82.32
80,82,3,79.27
48,53,2,48.55
53,87,4,70.26
41,92,7,81.04
60,50,4,60.16
42,41,2,39.78
63,98,4,79.27
62,75,7,85.3
65,36,6,63.78
75,94,7,98.27
86,35,4,62.13
56,55,3,53.52
98,59,2,71.78
40,43,5,53.29
96,74,2,76.95
59,96,6,84.42
65,66,6,78.34
48,80,7,80.83
57,69,6,71.79
96,44,3,66.9
67,85,8,93.49
87,44,5,70.83
87,96,3,82.28
57,88,4,75.08
81,49,1,55.56
54,64,4,63.75
77,63,2,61.65
61,86,8,93.19
77,36,5,63.37
63,85,6,83.1
51,100,2,67.06
72,57,4,66.99
85,83,1,71.9
56,56,6,67.69
90,79,1,72.11
64,75,8,89.28
65,96,1,68.16
57,100,5,82.85
47,35,7,62.96
60,86,5,76.86
94,62,7,90.23
41,75,6,69.06
67,97,6,87.19
41,85,6,74.69
47,39,7,62.53
96,75,7,98.85
82,83,3,78.71
94,58,7,86.97
69,63,4,67.69
91,44,3,66.5
94,94,7,102.88
41,73,5,64.76
85,79,6,91.75
98,70,4,82.04
86,97,7,103.4
87,78,5,84.34
63,100,2,74.46
43,75,1,50.36
63,87,8,94.25
68,70,6,79.47
60,70,7,77.59
40,76,5,69.16
70,44,2,53.14
85,71,5,80.65
98,69,5,87.64
63,40,6,66.61
73,51,5,71.81
82,52,2,61.27
40,69,1,50.15
45,95,2,63.84
62,76,4,70.6
40,83,8,80.79
60,91,5,80.7
40,73,7,75.77
99,76,1,74.28
50,76,8,84.57
55,49,6,67.59
70,53,5,69.21
83,86,8,100.31
88,37,5,68.29
49,99,8,89.2
65,73,5,77.24
74,75,4,76.57
84,84,3,76.82
53,60,8,79.46
78,52,4,67.53
98,77,3,82.55
61,100,1,66.52
52,42,2,43.86
41,61,6,67.52
96,93,2,81.81
92,61,7,87.09
57,39,5,58.14
72,38,7,74.36
97,39,2,60.74
61,50,6,66.92
63,43,7,67.5
61,75,3,66.23
96,36,3,67.42
51,36,5,52.02
83,63,7,86.54
77,94,3,79.17
57,70,3,63.56
78,95,1,75.43
79,91,3,79.47
82,86,4,84.25
78,68,2,67.32
92,86,5,90.85
100,59,5,82.57
56,61,2,52.52
53,83,5,76.24
84,77,5,82.23
47,48,5,60.51
60,96,1,66.21
96,67,1,67.94
79,42,2,57.43
42,94,5,74.94
62,74,1,56.04
67,40,3,52.86
94,65,1,64.64
53,43,1,41.66
76,53,1,56.54
62,77,7,82.74
84,58,3,67.44
52,92,3,68.97
66,60,3,61.29
76,59,2,62.85
41,60,3,52.23
48,79,7,78.33
40,62,3,50.56
85,83,8,98.26
71,54,6,71.47
96,40,7,80.13
72,60,7,81.69
90,64,6,86.79
99,56,1,67.83
76,41,8,80.03
48,86,4,69.35
53,45,8,70.58
55,47,2,50.74
90,69,7,89.6
44,43,8,66.98
100,91,3,88.37
41,62,8,73.8
64,81,5,75.95
61,57,8,78.8
100,87,3,84.24
71,83,4,78.67
48,100,7,89.86
97,65,6,91.41
80,35,8,80.97
87,93,6,98.95
60,43,3,51.47
70,35,3,53.43
57,83,8,90.4
77,37,2,53.9
41,37,2,39.15
72,75,2,69.6
60,98,5,85.37
42,54,2,43.58
75,75,7,88.21
58,68,3,60.75
70,75,1,63.47
77,49,1,54.23
47,78,4,63.42
99,44,7,83.25
99,67,2,72.52
61,84,8,89.42
78,46,2,56.36
45,80,6,72.31
77,86,3,79.07
46,91,2,63.53
52,38,1,42.81
80,47,4,65.8
48,39,7,62.54
70,36,4,59.81
83,90,7,94.41
62,83,1,60.06
100,61,5,83.97
56,94,5,79.21
52,58,8,75.96
96,42,5,76.47
61,95,7,93.39
59,74,8,83.56
46,60,5,62.94
96,51,2,64.81
51,49,7,70.56
68,59,8,80.86
43,60,6,64.49
56,100,3,73.92
44,100,5,78.47
90,72,4,80.28
53,88,6,81.06
75,66,4,74.89
76,51,4,65.37
94,97,7,103.0
73,46,8,81.53
70,61,3,62.99
92,88,2,81.9
95,38,3,67.6
75,82,8,92.29
51,50,8,71.22
95,93,3,87.96
62,43,7,70.92
93,55,8,88.35
46,40,1,39.11
92,55,1,61.83
88,73,6,89.06
48,70,5,65.64
74,60,1,57.41
83,68,4,74.34
42,47,7,63.66
49,83,6,76.64
42,92,7,79.33
90,82,3,83.28
57,83,8,90.47
85,73,3,76.63
53,82,4,70.62
42,66,7,71.12
81,79,1,69.52
89,89,3,81.07
81,86,5,88.38
47,48,8,68.02
58,40,1,40.89
68,43,4,60.54
88,59,2,66.38
47,45,4,51.67
93,42,3,66.67
63,35,7,68.59
40,69,8,74.05
85,61,5,77.0
93,84,4,87.56
45,87,1,55.96
79,100,6,93.63
56,65,2,54.16
47,83,8,81.23
98,46,1,63.99
84,57,4,72.18
73,62,6,79.65
67,95,2,69.97
41,96,5,75.5
71,85,4,77.21
46,68,6,68.93
65,61,7,76.18
91,91,7,101.58
77,99,4,88.37
49,47,7,66.35
81,89,7,93.48
85,73,8,95.09
87,66,1,62.49
50,65,8,75.61
49,57,8,74.14
91,66,1,65.99
61,92,8,93.65
91,45,6,77.09
100,85,5,95.04
100,82,4,90.0
60,92,8,95.11
87,69,2,69.25
100,81,1,79.12
80,94,1,72.51
96,92,3,85.57
87,60,2,63.97
74,60,4,69.77
99,62,4,79.53
43,48,1,38.42
88,81,2,78.56
100,85,4,89.3
75,69,2,62.85
80,95,1,75.45
65,66,4,71.36
100,58,2,73.44
